,Unnamed: 0,Participant_unique_ID,correct_keyboard_response,correct_response,flanker_condition,response_keyboard_response,response_time_keyboard_response,stimulus,Latin_square_group,target_type
24660,24660,59,1,C,7,c,487,kwil kwil kwil goet kwil kwil goet,4,nonword
24661,24661,59,1,C,1,c,485,voot voot voot spal voot voot voot,4,nonword
24662,24662,59,0,M,5,c,411,grof grof grof duim duim grof grof,4,word
24663,24663,59,0,C,2,m,378,helf kuim kuim helf kuim kuim kuim,4,nonword
24664,24664,59,1,M,6,m,361,ruwe ruwe ruwe poos ruwe poos ruwe,4,word
24665,24665,59,1,M,1,m,370,pest pest pest blok pest pest pest,4,word
24666,24666,59,1,M,2,m,323,orde punt punt orde punt punt punt,4,word
24667,24667,59,1,M,4,m,342,mond mond stuk stuk mond mond mond,4,word
24668,24668,59,1,M,1,m,353,maan maan maan reed maan maan maan,4,word
24669,24669,59,0,C,6,m,219,kuto kuto kuto peed kuto peed kuto,4,nonword
24670,24670,59,1,M,7,m,395,vlag vlag vlag beet vlag vlag beet,4,word
24671,24671,59,1,M,5,m,439,vies vies vies nood nood vies vies,4,word
24672,24672,59,1,M,4,m,357,band band slim slim band band band,4,word
24673,24673,59,1,M,4,m,306,vlug vlug adem adem vlug vlug vlug,4,word
24674,24674,59,1,M,3,m,298,wind taak wind taak wind wind wind,4,word
24675,24675,59,1,M,2,m,312,ster club club ster club club club,4,word
24676,24676,59,1,M,4,m,407,bond bond saai saai bond bond bond,4,word
24677,24677,59,0,C,2,m,429,tace puks puks tace puks puks puks,4,nonword
24678,24678,59,1,M,4,m,367,geld geld wist wist geld geld geld,4,word
24679,24679,59,1,C,2,c,504,kums bing bing kums bing bing bing,4,nonword
24680,24680,59,1,C,1,c,456,hijk hijk hijk omae hijk hijk hijk,4,nonword
24681,24681,59,0,M,7,c,400,word word word kent word word kent,4,word
24682,24682,59,0,C,3,m,300,muns tekt muns tekt muns muns muns,4,nonword
24683,24683,59,0,C,4,m,470,zoof zoof daam daam zoof zoof zoof,4,nonword
